Nodo,Distancia_Promedio,Caminos_Validos
ALMOGREN2024e31887,0.0,1
ALMOOSA2025100629,0.0,1
ALONSO2026103137,0.0,1
ALQASSAB2024104750,0.0,1
ALRUWAILI2024,0.0,1
ALSAAD2024,0.0,1
ALSAKAKER2025102382,0.0,1
ALSHAIKH2024e25361,0.0,1
ALSHARIDA2023102258,0.0,1
ALTINBILEK2025220,0.0,1
ALTORFER20251635,0.0,1
ALVAREZMARTINEZ2025108381,0.0,1
ALVAREZORTEGA2025S5,0.6744,9
ALVENTOSAMATEU2025502227,0.0,1
ALVES2025104584,0.0,1
ALWASHAH2025113802,0.0,1
AMACHER2024100587,0.7915,13
AMADEH2025,0.0,1
AMANKWAA2025106822,0.0,1
AMANKWAHAMOAH2024102759,0.0,1
AMANO2025114600,0.0,1
AMIN2025110398,0.0,1
AMIN2025147,0.14,2
AMIN2025149459,0.0,1
AMIN20252265,0.0,1
AMINIFARSANI2025101208,0.0,1
AMINOV2025254,0.0,1
AMITH2025,0.0,1
AMOS2024102163,0.0,1
AN2025105227,0.0,1
AN2025105893,0.0,1
AN2025128684,0.0,1
ANAND2025101069,0.0,1
ANAZCO2024100133,0.0,1
ANDERS2025100482,0.0,1
ANDERSEN2025102813,0.0,1
ANDERSON2025296,0.0,1
ANDERSSON2024100455,0.0,1
ANDREW20256,0.0,1
ANDRIEUX2024101032,0.0,1
ANDRISANI2025S125,0.89,6
ANNA2025105129,0.0,1
ANTHAMATTEN2024105192,0.0,1
ANTIA2025100243,0.0,1
AOKI2025100572,0.0,1
APORNVIRAT2024152359,0.0,1
APOSTOLOU2024104689,1.0704,27
APPLEBY202467,0.0,1
AQUINONUNEZ2025,0.0,1
ARAMALI2025100191,0.0,1
ARCEURRIZA2025104234,0.0,1
ARDIMENTO2025112569,0.0,1
ARFAIE2024110815,0.0,1
ARHONDITSIS2024102799,0.0,1
ARIF2025112261,0.0,1
ARISTEIDOU202421,0.0,1
ARLEGI2025103745,0.0,1
AROGUNDADE2025103321,0.0,1
AROMAA2025217,0.0,1
ARORA2022190,0.23,2
ARORA2023373,0.0,1
ARORA2023641,1.5124,344
ARORA2025683,0.0,1
ARRIBASLEAL2025502207,0.0,1
ARSEVEN2025101850,0.0,1
ARSLAN20244534,0.6217,6
ARSLAN20245027,0.5657,7
ARSLAN2025106793,0.0,1
ARSLAN2025116276,0.0,1
ARSLAN2025174,0.225,2
ARTHUR2025103008,0.25,2
ARTHUR2025108244,0.1667,3
ARVANITIS202555,0.0,1
ARYADOUST2024100204,0.0,1
ASADOLLAHPOUR2025,0.0,1
ASAOUER2026104031,0.0,1
ASHRAF2024,0.0,1
ASHRAF2024100363,0.0,1
ASKARI2025101247,0.0,1
ASKR2024112009,0.0,1
ASSAD2024677,0.0,1
ASSET2025214,0.0,1
ASSIS2025e42979,0.0,1
ATHAVALE2023100019,0.0,1
ATHE2024113526,0.0,1
ATIAS202523,0.0,1
ATKINSON2025103129,0.0,1
AUCHINCLOSS2023101476,0.0,1
AUFRICHT2025571,0.0,1
AUSTIN2025,0.0,1
AVILATHIEME2025106574,0.0,1
AVOLIO2024111131,0.0,1
AWIDI2024100226,1.258,199
AYDIN2025247,0.0,1
AYEMOWA2024100518,0.22,2
AYMON2025193,0.0,1
AYOUB2024186,1.4053,57
AYYADURAI2025862,0.0,1
AYYILDIZ2026103058,0.0,1
AZ202523,0.0,1
AZADI2024101653,0.0,1
AZADI2025122816,0.0,1
AZAP2025101394,0.0,1
AZHER2025,0.0,1
AZIZOGLU2025162359,0.0,1
AZZONE2023101841,0.0,1
BAABDULLAH2024122951,0.0,1
BAASSIRI2025103132,0.0,1
BACH2025100405,0.0,1
BADANO2025838,0.0,1
BADINI2025100275,0.0,1
BAENAPEREZ2025101972,0.0,1
BAFRANI2024122348,0.0,1
BAGENAL20241118,1.0969,51
BAGENAL20242142,1.3233,201
BAGGIO2025158,0.6345,11
BAHARMAND20251486,0.0,1
BAHIRWANI2025,0.0,1
BAI2025,0.0,1
BAI2025102962,0.0,1
BAI2025105242,0.0,1
BAI202524,0.0,1
BAIER2022325,0.0,1
BAIER2025104278,0.0,1
BAKER2024101054,1.075,211
BAKERGARDNER2025332,0.0,1
BAKULA2025,0.0,1
BALACHANDRAN2025,0.0,1
BALBI2025152605,0.0,1
BALK2024100245,0.0,1
BALKI2023,0.0,1
BALL2024105638,0.0,1
BALLARD20253039,0.0,1
BALLAS2024985,0.0,1
BALTASALVADOR2026101958,0.0,1
BANDEIRA2025,0.0,1
BANDYSZEWSKA2024105857,0.0,1
BANGARH2025120,0.0,1
BANNISTER2024173,0.0,1
BAO2023,0.0,1
BAO2025100929,0.0,1
BAO2025276,0.0,1
BAO2025328,0.0,1
BARA2025106063,0.0,1
BARAKCORREN2024128,1.3658,199
BARAKCORREN2025102242,0.0,1
BARATTA2023,0.0,1
BARBER2024428,0.0,1
BARBOSA2025104211,0.0,1
BARCAUI2023100101,0.672,5
BARENDS2025102095,0.0,1
BARKER2024A43,1.1763,212
BARRIOSBELTRAN2025103771,0.0,1
BARROSO2025501667,0.7638,8
BARTOLI2025769,0.0,1
BASARAN2025111145,0.0,1
BASER2025100546,0.0,1
BASSET2024100992,0.0,1
BASSLEER2025101520,0.0,1
BASTERRAGORTARI2025,0.0,1
BATAINEH2025,0.0,1
BATCHELLER2024543,0.5,3
BAUCON2024112027,0.0,1
BAYANI2023,0.0,1
BAYNE20231135,0.0,1
BAYRAM2025107850,0.0,1
BAZZANO2025,0.0,1
BECKER2024100100,0.921,10
BECKER2024103917,0.0,1
BECKER2024104861,0.0,1
BECKER2025101705,0.0,1
BECKMAN2025101036,0.0,1
BEG2025120538,0.0,1
BEGHETTO2025101121,1.0711,9
BEHESHTI2025333,0.696,5
BEKON2024107004,0.0,1
BELANCHE2025102954,0.0,1
BELKINA2025100407,0.0,1
BELLO2025100031,0.0,1
BELLONI202541,0.0,1
BELLORODRIGUEZ2025106470,0.0,1
BELTRAMIN2025,0.0,1
BENJAMIN2024,0.0,1
BENNETT2025103266,0.195,2
BENNETT2025103268,0.13,3
BENOIST2024107414,0.0,1
BENTHAYER2024109929,0.0,1
BENTHAYER2024110007,0.22,2
BENTZEN2025103798,0.5856,9
BERA20258735,0.71,9
BERBERSARDINHA2024100083,0.0,1
BEREZIN2025100302,0.0,1
BERGOMI2024102924,0.0,1
BERGUS2024102783,0.0,1
BERGUS2024102835,0.0,1
BERKOWITZ2024102890,0.0,1
BERLANGALLAVORI2025100663,0.0,1
BERLINSKI2024102723,0.0,1
BERTGES2025129,0.0,1
BERTHON2024461,0.0,1
BERTI2025S250,0.8343,7
BERTOMEU2025101782,0.0,1
BETZLER2023e917,1.5775,346
BEWERSDORFF2025102601,0.0,1
BEYER2025107585,0.0,1
BHATIA2025104343,0.0,1
BHATTACHARYA2024100194,0.0,1
BHATTACHARYA2025100334,0.0,1
BHATTARU20241950,0.25,2
BIAN2024104703,2.4164,56
BIAN2024111367,0.0,1
BIANCHI2024111258,0.0,1
